split_mode,action_source,method,channels_count,selected_channels,feature_set,window_ms,filtering,macro_f1,accuracy,processing_time_ms,feature_vector_size,profile,alpha,beta,gamma,reward
medium,channel_sweep,random,8,"[0, 6, 8, 9, 10, 12, 18, 22]",basic,200.0,False,0.8166101610826475,0.8154761904761905,0.1354083333353628,32,low_latency,0.08,0.0015,0.0003,0.7841774944158184
medium,feature_sweep,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",basic,200.0,False,0.8101077368062894,0.8092783505154639,0.124129771112471,32,low_latency,0.08,0.0015,0.0003,0.7785773551172916
medium,feature_sweep,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",basic,200.0,False,0.8194234340488175,0.8186057928325969,0.1442355977006803,48,low_latency,0.08,0.0015,0.0003,0.7754845862327631
medium,channel_sweep,random,6,"[1, 10, 19, 21, 22, 23]",basic,200.0,False,0.8012976459198619,0.8013009327442318,0.1232416672489004,24,low_latency,0.08,0.0015,0.0003,0.7752383125399498
medium,channel_sweep,random,6,"[2, 7, 12, 18, 21, 23]",basic,200.0,False,0.7864478149242229,0.782860824742268,0.1293250000647579,24,low_latency,0.08,0.0015,0.0003,0.7599018149190423
medium,feature_sweep,greedy,3,"[6, 8, 5]",extended_td,200.0,False,0.7817979417901256,0.779025527736868,0.1056398686798063,33,low_latency,0.08,0.0015,0.0003,0.7589467522957412
medium,channel_sweep,random,4,"[0, 7, 8, 15]",basic,200.0,False,0.7684682972022595,0.7734106529209622,0.1200666662649988,16,low_latency,0.08,0.0015,0.0003,0.7480629639010595
medium,channel_sweep,greedy,4,"[6, 8, 5, 16]",basic,200.0,False,0.7505822893911855,0.7471772214040255,0.1167791660918737,16,low_latency,0.08,0.0015,0.0003,0.7304399561038356
medium,feature_sweep,greedy,3,"[6, 8, 5]",basic,200.0,False,0.7448272256807771,0.7412248404516446,0.1046760892335402,12,low_latency,0.08,0.0015,0.0003,0.7283531385420938
medium,channel_sweep,random,4,"[7, 9, 18, 19]",basic,200.0,False,0.7406551156157396,0.7382793323514973,0.1147833327195257,16,low_latency,0.08,0.0015,0.0003,0.7206724489981775
medium,channel_sweep,random,3,"[5, 8, 17]",basic,200.0,False,0.7353377399620106,0.7300257731958762,0.1140166661267964,12,low_latency,0.08,0.0015,0.0003,0.7181164066718668
medium,channel_sweep,random,4,"[2, 6, 18, 23]",basic,200.0,False,0.6825044329292269,0.679860088365243,0.1606333333559935,16,low_latency,0.08,0.0015,0.0003,0.6588537662607474
medium,channel_sweep,ranking,4,"[6, 14, 7, 15]",basic,200.0,False,0.6637448158094911,0.6700110456553755,0.114175000059428,16,low_latency,0.08,0.0015,0.0003,0.6438108158047368
medium,channel_sweep,random,3,"[15, 19, 20]",basic,200.0,False,0.6586307454733831,0.6564187530682376,0.1145833331671989,12,low_latency,0.08,0.0015,0.0003,0.6413640788200071
medium,channel_sweep,ranking,3,"[6, 14, 7]",basic,200.0,False,0.6472843383403633,0.6473674521354934,0.1344416662808119,12,low_latency,0.08,0.0015,0.0003,0.6284290050378983
medium,channel_sweep,random,3,"[9, 14, 20]",basic,200.0,False,0.6351627741308676,0.6396968581246931,0.1188666666773012,12,low_latency,0.08,0.0015,0.0003,0.6175534407966835
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",extended_td,200.0,False,0.9575278848502512,0.9574435444280806,0.2146534885828654,264,quality_first,0.01,0.0005,0.0001,0.9169813499644226
medium,channel_sweep,random,16,"[1, 3, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22]",basic,200.0,False,0.931737527612166,0.9311487481590576,0.1751916668884708,64,quality_first,0.01,0.0005,0.0001,0.9155856109432813
medium,channel_sweep,ranking,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2056875003593935,96,quality_first,0.01,0.0005,0.0001,0.9108646885779788
medium,channel_sweep,random,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2070666667653616,96,quality_first,0.01,0.0005,0.0001,0.9108508969139191
medium,channel_sweep,random,16,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9215055134204032,0.9207167403043692,0.1716291665919319,64,quality_first,0.01,0.0005,0.0001,0.9053892217544839
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9284057813212564,0.9277736867943054,0.2013449067221804,96,quality_first,0.01,0.0005,0.0001,0.9047923322540345
medium,channel_sweep,greedy,16,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0, 20, 3, 15, 17]",basic,200.0,False,0.9183647472176206,0.9178325969563084,0.1666625001538098,64,quality_first,0.01,0.0005,0.0001,0.9022981222160825
